,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,noumea,11.0,NC,1584831092.0,61.0,-22.28,166.46,81.0,10.29
1,rikitea,3.0,PF,1584831312.0,76.0,-23.12,-134.97,79.18,7.9
2,atuona,54.0,PF,1584831314.0,71.0,-9.8,-139.03,83.5,8.93
3,hasaki,92.0,JP,1584831314.0,76.0,35.73,140.83,55.4,3.36
4,windsor,1.0,CA,1584831205.0,50.0,42.3,-83.02,37.4,9.17
5,mahebourg,40.0,MU,1584831314.0,69.0,-20.41,57.7,77.0,6.93
6,ushuaia,75.0,AR,1584831314.0,75.0,-54.8,-68.3,44.6,21.92
7,bambous virieux,40.0,MU,1584831315.0,69.0,-20.34,57.76,77.0,6.93
8,barrow,90.0,US,1584831315.0,77.0,71.29,-156.79,6.8,13.87
9,beloha,16.0,MG,1584831316.0,90.0,-25.17,45.05,71.26,9.44
10,port elizabeth,2.0,ZA,1584831316.0,93.0,-33.92,25.57,60.8,4.7
11,vaini,75.0,TO,1584831316.0,88.0,-21.2,-175.2,78.8,11.41
12,taolanaro,,,,,,,,
13,mataura,47.0,NZ,1584831317.0,82.0,-46.19,168.86,53.01,15.01
14,verkhnyaya inta,100.0,RU,1584831317.0,98.0,65.98,60.31,5.2,8.9
15,salalah,75.0,OM,1584831209.0,94.0,17.02,54.09,78.8,11.41
16,fairbanks,90.0,US,1584831317.0,97.0,64.84,-147.72,33.01,5.82
17,tsihombe,,,,,,,,
18,hermanus,0.0,ZA,1584831317.0,90.0,-34.42,19.23,63.0,1.99
19,monte patria,0.0,CL,1584831318.0,80.0,-30.69,-70.95,53.44,3.47
20,high level,75.0,CA,1584831168.0,51.0,58.52,-117.14,37.4,17.22
21,khatanga,93.0,RU,1584831318.0,93.0,71.97,102.5,-2.0,12.06
22,nha trang,20.0,VN,1584831181.0,88.0,12.25,109.18,77.0,4.7
23,punta arenas,40.0,CL,1584831318.0,66.0,-53.15,-70.92,50.0,11.41
24,east london,10.0,ZA,1584831318.0,81.0,-33.02,27.91,70.36,4.65
25,dzhusaly,,,,,,,,
26,illoqqortoormiut,,,,,,,,
27,lolua,,,,,,,,
28,vostok,45.0,RU,1584831319.0,93.0,46.49,135.88,24.82,5.39
29,maragogi,99.0,BR,1584831185.0,74.0,-9.01,-35.22,83.14,13.58
30,palabuhanratu,,,,,,,,
31,cape town,1.0,ZA,1584831319.0,82.0,-33.93,18.42,66.0,12.75
32,grindavik,40.0,IS,1584831320.0,55.0,63.84,-22.43,33.8,25.28
33,hobart,75.0,AU,1584831320.0,81.0,-42.88,147.33,55.0,4.7
34,ponta do sol,20.0,PT,1584831320.0,51.0,32.67,-17.1,59.0,10.29
35,provideniya,50.0,RU,1584831321.0,73.0,64.38,-173.3,8.98,4.99
36,amderma,,,,,,,,
37,surt,17.0,LY,1584831303.0,30.0,31.21,16.59,63.52,9.69
38,gornopravdinsk,94.0,RU,1584831321.0,93.0,60.05,69.9,8.8,8.3
39,bluff,100.0,NZ,1584831321.0,82.0,-46.6,168.33,53.01,15.01
40,avarua,100.0,CK,1584831321.0,74.0,-21.21,-159.78,82.4,9.17
41,hilo,90.0,US,1584831322.0,73.0,19.73,-155.09,75.2,8.05
42,constitucion,100.0,CL,1584831322.0,88.0,-35.33,-72.42,52.36,6.02
43,saint-philippe,90.0,RE,1584831322.0,78.0,-21.36,55.77,77.0,16.11
44,micheweni,43.0,TZ,1584831322.0,69.0,-4.97,39.83,84.94,8.7
45,oksfjord,100.0,NO,1584831322.0,96.0,70.24,22.35,37.4,36.91
46,eureka,20.0,US,1584831283.0,71.0,40.8,-124.16,62.01,16.11
47,irondequoit,1.0,US,1584831074.0,50.0,43.21,-77.58,30.0,3.36
48,iracoubo,20.0,GF,1584831323.0,79.0,5.48,-53.2,80.08,14.07
49,la ronge,75.0,CA,1584831323.0,81.0,55.1,-105.28,32.0,13.87
50,new norfolk,75.0,AU,1584831323.0,81.0,-42.78,147.06,55.0,4.7
51,kavieng,71.0,PG,1584831324.0,69.0,-2.57,150.8,85.12,6.6
52,norrtalje,0.0,SE,1584831324.0,85.0,59.76,18.7,28.99,2.24
53,polunochnoye,99.0,RU,1584831324.0,92.0,60.87,60.42,15.82,7.54
54,qaqortoq,100.0,GL,1584831324.0,67.0,60.72,-46.03,23.0,43.62
55,piranshahr,100.0,IR,1584831324.0,95.0,36.7,45.14,29.86,12.03
56,srednekolymsk,0.0,RU,1584831326.0,69.0,67.45,153.68,4.84,3.36
57,huron,75.0,US,1584831028.0,58.0,41.15,-82.55,32.0,5.82
58,santa rosa,40.0,PH,1584831126.0,74.0,14.31,121.11,80.6,3.36
59,mount isa,1.0,AU,1584831326.0,34.0,-20.73,139.5,82.4,6.93
60,tiksi,20.0,RU,1584831326.0,86.0,71.69,128.87,-11.36,8.88
61,salinopolis,100.0,BR,1584831326.0,78.0,-0.61,-47.36,80.8,9.1
62,busselton,0.0,AU,1584831326.0,53.0,-33.65,115.33,63.0,16.37
