,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mandalgovi,53.0,MN,1585610290.0,61.0,45.76,106.27,20.84,9.82
1,hilo,90.0,US,1585610247.0,73.0,19.73,-155.09,75.2,12.75
2,nanortalik,100.0,GL,1585610291.0,93.0,60.14,-45.24,33.03,10.04
3,tsihombe,,,,,,,,
4,cabo san lucas,75.0,MX,1585610000.0,26.0,22.89,-109.91,82.4,6.93
5,xianshuigu,94.0,CN,1585610291.0,61.0,38.98,117.38,50.0,6.71
6,flin flon,90.0,CA,1585610046.0,59.0,54.77,-101.86,35.6,4.7
7,cagayan de tawi-tawi,,,,,,,,
8,grand river south east,,,,,,,,
9,zilair,14.0,RU,1585610291.0,89.0,52.23,57.44,27.27,5.44
10,boa vista,75.0,BR,1585610291.0,49.0,2.82,-60.67,89.6,9.17
11,bluff,0.0,NZ,1585610292.0,74.0,-46.6,168.33,63.0,3.0
12,petropavlovka,0.0,RU,1585610292.0,74.0,50.61,105.32,26.24,4.72
13,jember,67.0,ID,1585610292.0,72.0,-8.17,113.7,80.58,0.85
14,punta arenas,40.0,CL,1585610224.0,62.0,-53.15,-70.92,51.8,23.04
15,kapaa,75.0,US,1585610292.0,74.0,22.08,-159.32,78.8,13.87
16,amderma,,,,,,,,
17,hermanus,97.0,ZA,1585610258.0,84.0,-34.42,19.23,59.0,8.34
18,codrington,28.0,AU,1585610292.0,68.0,-38.27,141.97,62.78,11.54
19,thompson,90.0,CA,1585610292.0,46.0,55.74,-97.86,28.4,9.17
20,oktyabrskiy,100.0,RU,1585610293.0,86.0,54.48,53.47,33.26,5.75
21,taolanaro,,,,,,,,
22,burns lake,100.0,CA,1585610105.0,85.0,54.23,-125.75,15.48,7.65
23,rikitea,4.0,PF,1585610293.0,77.0,-23.12,-134.97,78.44,7.0
24,takoradi,74.0,GH,1585610293.0,89.0,4.88,-1.76,80.26,8.77
25,cedar city,20.0,US,1585610285.0,24.0,37.68,-113.06,57.2,9.8
26,bredasdorp,42.0,ZA,1585610088.0,81.0,-34.53,20.04,53.6,4.7
27,jamestown,90.0,US,1585610202.0,93.0,42.1,-79.24,41.0,13.87
28,hambantota,80.0,LK,1585610293.0,81.0,6.12,81.12,78.94,6.89
29,ushuaia,40.0,AR,1585610294.0,57.0,-54.8,-68.3,51.8,11.41
30,mataura,0.0,NZ,1585610294.0,74.0,-46.19,168.86,63.0,3.0
31,barrow,1.0,US,1585610294.0,71.0,71.29,-156.79,3.2,10.29
32,saint-francois,0.0,FR,1585610294.0,82.0,46.42,3.91,37.99,3.36
33,hualmay,94.0,PE,1585610294.0,76.0,-11.1,-77.61,72.88,5.23
34,san cristobal,20.0,VE,1585610294.0,48.0,7.77,-72.22,87.8,11.41
35,bambanglipuro,81.0,ID,1585610294.0,79.0,-7.95,110.28,80.33,0.76
36,kaitangata,35.0,NZ,1585610272.0,86.0,-46.28,169.85,57.99,1.99
37,tateyama,75.0,JP,1585610294.0,76.0,34.98,139.87,52.0,14.99
38,fortuna,90.0,US,1585610295.0,87.0,40.6,-124.16,55.4,6.93
39,illoqqortoormiut,,,,,,,,
40,scalea,100.0,IT,1585610295.0,62.0,39.81,15.8,50.0,0.6
41,rawson,0.0,AR,1585610295.0,57.0,-43.3,-65.1,59.56,10.13
42,hendijan,,,,,,,,
43,ola,70.0,RU,1585610295.0,92.0,59.58,151.28,17.58,6.67
44,melbu,100.0,NO,1585610295.0,91.0,68.5,14.83,33.01,14.0
45,arraial do cabo,75.0,BR,1585610265.0,88.0,-22.97,-42.03,77.0,3.36
46,nabul,,,,,,,,
47,namatanai,65.0,PG,1585610296.0,70.0,-3.67,152.43,83.97,6.17
48,kupang,20.0,ID,1585610296.0,100.0,-10.17,123.58,75.2,2.24
49,te anau,23.0,NZ,1585610296.0,49.0,-45.42,167.72,60.21,1.68
50,port elizabeth,1.0,ZA,1585610104.0,93.0,-33.92,25.57,64.4,12.75
51,ust-kamchatsk,,,,,,,,
52,baykit,100.0,RU,1585610071.0,93.0,61.67,96.37,30.92,7.65
53,half moon bay,1.0,US,1585610296.0,71.0,37.46,-122.43,68.0,9.17
54,sao joao da barra,65.0,BR,1585610297.0,82.0,-21.64,-41.05,76.86,5.21
55,mahibadhoo,11.0,MV,1585610297.0,64.0,3.78,72.97,83.01,5.19
56,cape town,20.0,ZA,1585610297.0,77.0,-33.93,18.42,63.0,12.75
57,geraldton,6.0,AU,1585610297.0,82.0,-28.77,114.6,57.2,8.05
58,west lorne,90.0,CA,1585610297.0,81.0,42.6,-81.6,43.0,9.17
59,chuy,53.0,UY,1585610297.0,92.0,-33.7,-53.46,70.16,9.53
60,kavieng,92.0,PG,1585610297.0,73.0,-2.57,150.8,82.94,2.73
61,bandiagara,7.0,ML,1585610297.0,14.0,14.35,-3.61,86.23,15.48
62,dikson,82.0,RU,1585610297.0,91.0,73.51,80.55,-11.16,4.05
63,sioux lookout,75.0,CA,1585610293.0,23.0,50.1,-91.92,50.0,2.24
64,kazalinsk,,,,,,,,
65,khatanga,100.0,RU,1585610298.0,90.0,71.97,102.5,-6.47,9.28
66,saint anthony,1.0,US,1585610298.0,22.0,45.02,-93.22,60.01,8.05
67,torbay,90.0,CA,1585610298.0,100.0,47.67,-52.73,32.0,19.46
68,mayumba,99.0,GA,1585610299.0,89.0,-3.43,10.66,80.11,4.12
69,inowroclaw,90.0,PL,1585610299.0,96.0,52.8,18.26,33.01,4.7
70,narsaq,100.0,GL,1585610299.0,90.0,60.92,-46.05,32.0,1.7
71,longyearbyen,75.0,SJ,1585610299.0,64.0,78.22,15.64,-4.0,11.41
72,nguiu,,,,,,,,
73,esso,91.0,RU,1585610299.0,85.0,55.93,158.7,23.58,18.97
74,nizhneyansk,,,,,,,,
75,paamiut,17.0,GL,1585610225.0,94.0,61.99,-49.67,21.6,8.88
76,waipawa,95.0,NZ,1585610299.0,93.0,-41.41,175.52,64.99,12.75
77,berlevag,40.0,NO,1585610300.0,78.0,70.86,29.09,15.8,11.41
78,qaqortoq,100.0,GL,1585610300.0,91.0,60.72,-46.03,32.0,5.37
79,albany,90.0,US,1585610049.0,75.0,42.6,-73.97,46.4,4.7
80,rio grande,4.0,BR,1585610246.0,74.0,-32.03,-52.1,78.8,4.7
81,wolfhagen,98.0,DE,1585610300.0,87.0,51.33,9.17,39.99,1.12
82,murmashi,15.0,RU,1585610300.0,85.0,68.82,32.81,12.2,2.24
83,hithadhoo,52.0,MV,1585610289.0,66.0,-0.6,73.08,83.23,9.69
84,bengkulu,91.0,ID,1585610300.0,80.0,-3.8,102.27,77.49,5.03
85,hede,91.0,CN,1585610300.0,75.0,33.77,120.25,49.23,2.46
86,arlit,9.0,NE,1585610301.0,15.0,18.74,7.39,85.05,11.25
87,bereda,65.0,ES,1585610301.0,70.0,43.27,-7.54,48.0,9.17
88,broome,90.0,US,1585610301.0,81.0,42.25,-75.83,46.99,6.93
